label,ann_return,ann_vol,sharpe,max_drawdown,calmar,var5_pct,suite,window_id,param_name,param_value
SPY,0.14212025565438288,0.11781416887472494,0.9092305924254397,-0.072734178163164,1.953967717843577,-1.335318386878807,rolling_reference,0,benchmark,SPY
factor_benchmark,0.21174095135780557,0.15464900050077543,1.1428521319696343,-0.09069666437296436,2.3346054617954453,-1.5819972545900793,rolling_reference,0,benchmark,factor_benchmark
vol_target,0.1964729544294713,0.1347169543086079,1.198608915055205,-0.09069666437296352,2.166264152327502,-1.3804912733872796,rolling_reference,0,benchmark,vol_target
dd_delever,0.2041462069571502,0.15403784783696206,1.0980820515965577,-0.09069666437296436,2.250867613046723,-1.581997254590079,rolling_reference,0,benchmark,dd_delever
SPY,0.15938711495971364,0.09976552522441907,1.246794443390788,-0.05524310115598313,2.885194400251499,-0.886408657774538,rolling_reference,1,benchmark,SPY
factor_benchmark,0.3254513253009622,0.11924874565105954,2.435675942404532,-0.04724470045915895,6.8886299045541,-1.018970585238936,rolling_reference,1,benchmark,factor_benchmark
vol_target,0.31660856554081024,0.11581770324206153,2.431480968306137,-0.047244700459158843,6.701460596620771,-1.0189705852389297,rolling_reference,1,benchmark,vol_target
dd_delever,0.3254513253009622,0.11924874565105954,2.435675942404532,-0.04724470045915895,6.8886299045541,-1.018970585238936,rolling_reference,1,benchmark,dd_delever
SPY,0.1138664980105874,0.1546347407426511,0.5100179463660142,-0.1934889673704159,0.5884908771449084,-1.8586945915951043,rolling_reference,2,benchmark,SPY
factor_benchmark,0.18251598765630825,0.18016561174206927,0.8187798883601487,-0.18939703351492584,0.9636686205290458,-1.7886401599989958,rolling_reference,2,benchmark,factor_benchmark
vol_target,0.1496309361554195,0.13331365650088192,0.8598588514153661,-0.14130415941983596,1.0589279620677254,-1.400626097901496,rolling_reference,2,benchmark,vol_target
dd_delever,0.11913571158333737,0.1433530971335088,0.58691236810779,-0.16030645814519556,0.7431747013191738,-1.2812169838106882,rolling_reference,2,benchmark,dd_delever
SPY,0.29118609734333656,0.13561302188570892,1.8890964517277617,-0.07346120404424493,3.963807311542091,-1.3545953112388143,rolling_reference,3,benchmark,SPY
factor_benchmark,0.4394411823606832,0.2540333563968773,1.5920789780379605,-0.17065959346498297,2.5749572449396356,-2.304390432049127,rolling_reference,3,benchmark,factor_benchmark
vol_target,0.21765738477584898,0.14188187444044256,1.2873904621172596,-0.0954251117203532,2.2809233129793838,-1.4027701284940022,rolling_reference,3,benchmark,vol_target
dd_delever,0.3616565141288902,0.21797038198759783,1.4986279152421602,-0.1375363772965259,2.6295333274180415,-2.1031774122259344,rolling_reference,3,benchmark,dd_delever
SPY,0.19378658209595964,0.17023946117321367,0.9327248316837107,-0.07538742267395558,2.570542267092058,-1.5609618290959475,rolling_reference,4,benchmark,SPY
factor_benchmark,0.17997573682081539,0.14913074861943817,0.9721383982949765,-0.07407876292293164,2.429518331898591,-1.4772576200689305,rolling_reference,4,benchmark,factor_benchmark
vol_target,0.1432685454657336,0.12903296204193446,0.8390765844760002,-0.07407876292293152,1.9340026813724933,-1.2708452416616776,rolling_reference,4,benchmark,vol_target
dd_delever,0.17997573682081539,0.14913074861943817,0.9721383982949765,-0.07407876292293164,2.429518331898591,-1.4772576200689305,rolling_reference,4,benchmark,dd_delever
SPY,0.19670361915580392,0.193501610839672,0.8356706184377924,-0.18755246925491123,1.048792422991407,-1.6597514198127412,rolling_reference,5,benchmark,SPY
factor_benchmark,0.11557358919981386,0.15811600876101212,0.5095852389352059,-0.12569261712698793,0.9194937829014367,-1.2131993495966058,rolling_reference,5,benchmark,factor_benchmark
vol_target,0.08723284191974114,0.1377437172640208,0.37920305306987695,-0.11740471085626296,0.743009661651844,-1.1719618000780476,rolling_reference,5,benchmark,vol_target
dd_delever,0.08282517708536402,0.1443974398080077,0.33120513657930145,-0.11843641289750997,0.6993218391696745,-1.2131993495966116,rolling_reference,5,benchmark,dd_delever
